appID,name,release_date,peak_ccu,price,dlc_count,metacritic_score,positive,negative,recommendations,supported_languages,windows,mac,linux,genres,average_playtime_forever,median_playtime_forever,achievements,publishers,total_reviews,rating,owners_numeric,release_year,primary_publisher,total_languages,estrategia_idiomas
496350,Supipara - Chapter 1 Spring Has Come!,"Jul 29, 2016",0,5.24,0,0,252,3,231,['English'],True,False,False,['Adventure'],8,8,0,['MangaGamer'],255,98.82352941176471,10000.0,2016,MangaGamer,1,1. Solo 1 Idioma (Local)
1034400,Mystery Solitaire The Black Raven,"May 6, 2019",0,4.99,0,0,21,3,0,"['English', 'French', 'German', 'Russian']",True,True,False,['Casual'],0,0,0,['8floor'],24,87.5,10000.0,2019,8floor,4,2. Localización Básica (2-5)
1934300,Armored Brigade II,"Apr 8, 2025",8,35.99,1,0,117,13,107,['English'],True,False,False,"['Simulation', 'Strategy']",675,1253,0,['Matrix Games'],130,90.0,10000.0,2025,Matrix Games,1,1. Solo 1 Idioma (Local)
1157670,Hepta Beats,"May 7, 2021",0,0.99,0,0,28,4,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Danish', 'Spanish - Latin America', 'Finnish', 'Greek', 'Dutch', 'Hungarian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Swedish', 'Thai', 'Czech', 'Turkish', 'Ukrainian', 'Vietnamese', 'Arabic']",True,False,False,"['Casual', 'Indie']",0,0,9,['Matheus Bigatão'],32,87.5,10000.0,2021,Matheus Bigatão,29,4. Global / Multilingüe (+10)
1540330,MUMBA IV: Egypt Jewels,"Dec 13, 2021",1,0.59,1,0,19,6,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Traditional Chinese', 'Simplified Chinese', 'Czech', 'Danish', 'Finnish', 'Greek', 'Spanish - Latin America', 'Dutch', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Romanian', 'Swedish', 'Thai', 'Turkish', 'Ukrainian', 'Vietnamese', 'Hungarian', 'Belarusian']",True,True,True,"['Action', 'Casual', 'Indie', 'Strategy']",0,0,100,['Airem'],25,76.0,10000.0,2021,Airem,30,4. Global / Multilingüe (+10)
1108640,OMNIMUS,"Sep 25, 2019",0,0.99,1,0,47,6,0,"['English', 'Russian']",True,True,True,"['Adventure', 'Indie']",0,0,0,['Total'],53,88.67924528301887,10000.0,2019,Total,2,2. Localización Básica (2-5)
1025440,Fantasy General II,"Sep 5, 2019",13,13.99,4,80,1025,210,994,"['English', 'German', 'Spanish - Spain', 'Simplified Chinese', 'French', 'Russian']",True,False,False,['Strategy'],489,52,77,['Slitherine Ltd.'],1235,82.99595141700405,150000.0,2019,Slitherine Ltd.,6,3. Localización Expansiva (6-10)
2113450,"Forests, Fields and Fortresses","Apr 5, 2023",0,1.49,0,0,64,2,0,"['English', 'Russian']",True,True,False,"['Casual', 'Indie']",0,0,13,"['9 Eyes Game Studio', 'Stately Snail']",66,96.96969696969697,10000.0,2023,9 Eyes Game Studio,2,2. Localización Básica (2-5)
2922740,DogDogDog,"Apr 19, 2024",0,1.35,0,0,34,10,0,"['English', 'Simplified Chinese', 'Japanese', 'Russian']",True,False,False,"['Adventure', 'Casual', 'Indie']",0,0,5,['LuuuLuuuL'],44,77.27272727272727,10000.0,2024,LuuuLuuuL,4,2. Localización Básica (2-5)
328460,Redline,"Oct 23, 2014",0,1.04,0,0,74,35,0,['English'],True,False,False,"['Action', 'Racing']",203,203,0,"['Atari', 'Nightdive Studios']",109,67.88990825688074,10000.0,2014,Atari,1,1. Solo 1 Idioma (Local)
